step,time_s,L1,L2,L3,L4,L5,L6,R1,R2,R3,R4,R5,R6
100,0.400000,-0.190956041,5.35332489,4.73876286,-2.9841063,-0.0121011995,2.48449039,-5.06865354e-06,-3.15034799e-06,5.36265316e-06,-2.29360262e-06,3.10411524e-05,4.49617364e-05
101,0.404000,-0.190692425,5.3501482,4.73748541,-2.98135829,-0.0116923712,2.48382378,-5.24717188e-06,-3.17786589e-06,5.23471135e-06,-2.1979663e-06,3.35527329e-05,4.34557769e-05
102,0.408000,-0.190424547,5.34748983,4.73560762,-2.97860527,-0.0112962835,2.48316741,-5.4078464e-06,-3.2151288e-06,5.08265975e-06,-2.09497421e-06,3.6096968e-05,4.1932708e-05
103,0.412000,-0.19012633,5.34523439,4.73334265,-2.97583461,-0.0108707845,2.48248672,-5.56928626e-06,-3.24274129e-06,4.94327742e-06,-1.99967644e-06,3.85875464e-05,4.04403472e-05
104,0.416000,-0.189821124,5.34323645,4.73073721,-2.97303987,-0.0104282722,2.4817946,-5.71882902e-06,-3.27730027e-06,4.81067582e-06,-1.90554408e-06,4.11184265e-05,3.8925511e-05
105,0.420000,-0.189513594,5.34141588,4.72786093,-2.97020459,-0.00997063145,2.48109388,-5.88619923e-06,-3.30802527e-06,4.67534483e-06,-1.80792767e-06,4.36099035e-05,3.74318697e-05
106,0.424000,-0.162740976,4.31616163,3.07838082,-1.31401122,-0.00639652088,1.572734,-6.04416437e-06,-3.34267179e-06,4.53562643e-06,-1.70998453e-06,4.61136005e-05,3.5933419e-05
107,0.428000,-0.135700911,4.20120335,3.16558242,-1.78583181,-0.0120703019,1.57254183,-6.21974641e-06,-3.37814095e-06,4.39514315e-06,-1.60819548e-06,4.86307836e-05,3.44244654e-05
108,0.432000,-0.112854861,4.00619268,3.08054781,-1.80799031,-0.00432210043,1.56415093,-6.37934272e-06,-3.40848942e-06,4.27237546e-06,-1.51831614e-06,5.11284888e-05,3.29291506e-05
109,0.436000,-0.102938496,3.82913256,3.02492142,-1.81812501,-0.000719781965,1.55918717,-6.53769393e-06,-3.44169212e-06,4.14506712e-06,-1.41421606e-06,5.36284024e-05,3.1434367e-05
110,0.440000,-0.0978927836,3.70995545,3.00418735,-1.80669522,0.00402642414,1.553105,-6.71487669e-06,-3.48338494e-06,4.01531179e-06,-1.32775938e-06,5.61003581e-05,2.99495914e-05
111,0.444000,-0.0966504961,3.64355397,3.01709175,-1.80936849,0.00588929281,1.54937458,-6.88561295e-06,-3.51228141e-06,3.87586624e-06,-1.22708923e-06,5.85603048e-05,2.84763264e-05
112,0.448000,-0.0969674289,3.59928441,3.03104901,-1.80871916,0.00698072836,1.54799867,-7.05515504e-06,-3.56277292e-06,3.74209048e-06,-1.13120268e-06,6.10385177e-05,2.69900083e-05
113,0.452000,-0.0974237248,3.56865478,3.04348993,-1.80589974,0.00698858127,1.5480777,-7.20794924e-06,-3.58529724e-06,3.62939431e-06,-1.03809589e-06,6.34749158e-05,2.55337327e-05
114,0.456000,-0.0977920145,3.54681659,3.05355549,-1.80306029,0.00698686391,1.54830301,-7.37461869e-06,-3.61988987e-06,3.51541121e-06,-9.42763734e-07,6.59507132e-05,2.40476948e-05
115,0.460000,-0.0980758294,3.53083825,3.06102824,-1.80044031,0.00698135793,1.54851782,-7.54945404e-06,-3.6534143e-06,3.38576319e-06,-8.48216018e-07,6.83799008e-05,2.25898148e-05
116,0.464000,-0.0982845873,3.51900077,3.06626463,-1.79802787,0.00697387755,1.54874945,-7.73067222e-06,-3.68662927e-06,3.2527746e-06,-7.59824616e-07,7.07727377e-05,2.11557526e-05
117,0.468000,-0.098439604,3.51017618,3.06969047,-1.79564297,0.00681457296,1.54909813,-7.88671878e-06,-3.73777948e-06,3.10289033e-06,-6.57821147e-07,7.32624248e-05,1.96647343e-05
118,0.472000,-0.0985647365,3.50358582,3.07171011,-1.79338217,0.00662110373,1.54945576,-8.07359356e-06,-3.75305603e-06,2.99934277e-06,-5.7076852e-07,7.56688314e-05,1.82186577e-05
119,0.476000,-0.0986773819,3.49867439,3.07265472,-1.79129946,0.00647185743,1.54975235,-8.24340532e-06,-3.79145536e-06,2.87643888e-06,-4.69148404e-07,7.81032286e-05,1.67608196e-05
120,0.480000,-0.0987329856,3.49498773,3.07267976,-1.78901231,0.0064660944,1.55025351,-8.42293684e-06,-3.84313898e-06,2.75236926e-06,-3.79065739e-07,8.05233722e-05,1.53090787e-05
121,0.484000,-0.0780309886,2.26837182,1.00052381,0.0283783264,0.00488191843,0.394978911,-8.5880356e-06,-3.86028933e-06,2.64322489e-06,-2.89820321e-07,8.2923325e-05,1.38679106e-05
122,0.488000,-0.0431123972,2.1099596,0.982174814,-0.35064733,0.00530534983,0.42094624,-8.76570266e-06,-3.90069454e-06,2.52545101e-06,-1.94705223e-07,8.53277161e-05,1.24289381e-05
123,0.492000,-0.0178430211,1.91956878,0.887244821,-0.380729914,0.0055414401,0.41264078,-8.92402477e-06,-3.95027701e-06,2.42063879e-06,-1.02603167e-07,8.76971317e-05,1.1008512e-05
124,0.496000,-0.00499702198,1.7552731,0.838856041,-0.397450805,0.00569711998,0.406636655,-9.11701773e-06,-3.98933753e-06,2.30495789e-06,-1.90435543e-08,9.00984451e-05,9.56463919e-06
125,0.500000,0.000626848079,1.60255301,0.811035872,-0.409800112,0.00696966052,0.401303798,-9.2766295e-06,-4.01128409e-06,2.19181265e-06,7.94555604e-08,9.24584165e-05,8.15229305e-06
126,0.504000,0.00149440207,1.45528829,0.792678356,-0.417888045,0.00819495693,0.398163468,-9.4494153e-06,-4.06200297e-06,2.07767016e-06,1.71730889e-07,9.48167581e-05,6.73696286e-06
127,0.508000,0.000786292367,1.30964839,0.77682054,-0.421589166,0.00823558308,0.398206264,-9.64361425e-06,-4.09732547e-06,1.97146574e-06,2.58631644e-07,9.72315975e-05,5.28604414e-06
128,0.512000,-0.000698093325,1.15980005,0.744565845,-0.406050801,0.00825480931,0.397536635,-9.83267728e-06,-4.13835187e-06,1.84603482e-06,3.43565716e-07,9.95860828e-05,3.87355567e-06
129,0.516000,-0.000839327462,1.0754087,0.765064776,-0.407841742,0.0082727652,0.396841913,-1.00009584e-05,-4.15499289e-06,1.7445318e-06,4.35301388e-07,0.000101897342,2.48552351e-06
130,0.520000,-0.00125349127,1.01640558,0.787349761,-0.406961083,0.00826963224,0.396694988,-1.01626947e-05,-4.19476783e-06,1.63122456e-06,5.29999625e-07,0.000104290812,1.05191896e-06
131,0.524000,-0.00174926873,0.973329723,0.806332707,-0.405295908,0.00825824775,0.396961331,-1.03350221e-05,-4.28205112e-06,1.49966922e-06,6.20345531e-07,0.000106642256,-3.58625357e-07
132,0.528000,-0.00213696947,0.941590428,0.821729422,-0.403441668,0.0082432162,0.397447497,-1.05112558e-05,-4.28735393e-06,1.41823216e-06,7.09505343e-07,0.000109000248,-1.77323636e-06
133,0.532000,-0.00240754429,0.918208003,0.833950639,-0.401659369,0.00822675601,0.398020744,-1.07160949e-05,-4.33523519e-06,1.305919e-06,7.93984384e-07,0.000111276655,-3.1441532e-06
