step,time_s,L1,L2,L3,L4,L5,L6,R1,R2,R3,R4,R5,R6
91,0.364000,-0.0268059913,0.778443575,0.590369463,-0.289515764,0.013258446,0.300659865,-3.68231622e-06,-2.86287741e-06,6.67885115e-06,-3.20201889e-06,7.86524106e-06,5.88300172e-05
92,0.368000,-0.0276588574,0.775924623,0.597334504,-0.288878888,0.0142845763,0.300482005,-3.84338136e-06,-2.90753951e-06,6.50993479e-06,-3.10205496e-06,1.04868968e-05,5.72623612e-05
93,0.372000,-0.0279018898,0.77394861,0.602191508,-0.28847447,0.0145909777,0.300453603,-3.9911065e-06,-2.94137226e-06,6.36979439e-06,-2.99726094e-06,1.30766848e-05,5.57126477e-05
94,0.376000,-0.0280236993,0.772511065,0.605642438,-0.288331151,0.0146267526,0.300547034,-4.14959868e-06,-2.97081397e-06,6.19996536e-06,-2.90069192e-06,1.56565748e-05,5.41696609e-05
95,0.380000,-0.0281208288,0.771457613,0.60809201,-0.288374096,0.0146090528,0.300658137,-4.28787098e-06,-2.9824489e-06,6.0712473e-06,-2.7962401e-06,1.82079602e-05,5.26415679e-05
96,0.384000,-0.0282131564,0.770677924,0.60982728,-0.28854841,0.0145872701,0.300763845,-4.44674697e-06,-3.01561568e-06,5.94086168e-06,-2.69885595e-06,2.07760786e-05,5.11053004e-05
97,0.388000,-0.0283046737,0.770093083,0.611053526,-0.288815409,0.0145704858,0.30086121,-4.60022193e-06,-3.04916807e-06,5.78545132e-06,-2.59312264e-06,2.33724204e-05,4.95514068e-05
98,0.392000,-0.0283961352,0.769647121,0.61191678,-0.289146483,0.0145592373,0.300950795,-4.75412253e-06,-3.08115455e-06,5.64566744e-06,-2.49195591e-06,2.5922327e-05,4.80254894e-05
99,0.396000,-0.0284874495,0.769299865,0.612521768,-0.289521098,0.0145523222,0.301034659,-4.90941193e-06,-3.11380177e-06,5.50483946e-06,-2.39442556e-06,2.84671605e-05,4.65039084e-05
100,0.400000,-0.0285785329,0.769023001,0.612943351,-0.289925039,0.0145483315,0.301113874,-5.06865354e-06,-3.15034799e-06,5.36265316e-06,-2.29360262e-06,3.10411524e-05,4.49617364e-05
101,0.404000,-0.0286691394,0.768795967,0.613234878,-0.290348589,0.0145465909,0.301189572,-5.24717188e-06,-3.17786589e-06,5.23471135e-06,-2.1979663e-06,3.35527329e-05,4.34557769e-05
102,0.408000,-0.0287592988,0.768604934,0.613434017,-0.290783584,0.01454644,0.301262319,-5.4078464e-06,-3.2151288e-06,5.08265975e-06,-2.09497421e-06,3.6096968e-05,4.1932708e-05
103,0.412000,-0.0288464502,0.76843977,0.613567829,-0.291224241,0.0145108644,0.301354647,-5.56928626e-06,-3.24274129e-06,4.94327742e-06,-1.99967644e-06,3.85875464e-05,4.04403472e-05
104,0.416000,-0.0289314315,0.76829344,0.613655865,-0.291667461,0.0144441947,0.301464379,-5.71882902e-06,-3.27730027e-06,4.81067582e-06,-1.90554408e-06,4.11184265e-05,3.8925511e-05
105,0.420000,-0.0290164072,0.768160462,0.613711715,-0.292110711,0.0143773379,0.30157274,-5.88619923e-06,-3.30802527e-06,4.67534483e-06,-1.80792767e-06,4.36099035e-05,3.74318697e-05
106,0.424000,-0.0315372683,0.916736722,0.715006709,-0.380880415,0.0142153343,0.377501607,-6.04416437e-06,-3.34267179e-06,4.53562643e-06,-1.70998453e-06,4.61136005e-05,3.5933419e-05
107,0.428000,-0.0323653184,0.914262235,0.7221452,-0.380193889,0.0142181348,0.377989531,-6.21974641e-06,-3.37814095e-06,4.39514315e-06,-1.60819548e-06,4.86307836e-05,3.44244654e-05
108,0.432000,-0.0326167569,0.912268162,0.727033198,-0.379715204,0.0141356578,0.378200114,-6.37934272e-06,-3.40848942e-06,4.27237546e-06,-1.51831614e-06,5.11284888e-05,3.29291506e-05
109,0.436000,-0.0327516086,0.910812795,0.730461299,-0.379514456,0.0140539911,0.378365934,-6.53769393e-06,-3.44169212e-06,4.14506712e-06,-1.41421606e-06,5.36284024e-05,3.1434367e-05
110,0.440000,-0.0328562111,0.909743667,0.732860923,-0.379508197,0.0139730144,0.37851429,-6.71487669e-06,-3.48338494e-06,4.01531179e-06,-1.32775938e-06,5.61003581e-05,2.99495914e-05
111,0.444000,-0.0329528786,0.908948421,0.734535336,-0.379638851,0.0138923889,0.378653169,-6.88561295e-06,-3.51228141e-06,3.87586624e-06,-1.22708923e-06,5.85603048e-05,2.84763264e-05
112,0.448000,-0.0330478959,0.908346832,0.735697627,-0.379864037,0.0138119031,0.378785402,-7.05515504e-06,-3.56277292e-06,3.74209048e-06,-1.13120268e-06,6.10385177e-05,2.69900083e-05
113,0.452000,-0.0331426598,0.907882988,0.736499012,-0.380154014,0.0137315774,0.378913611,-7.20794924e-06,-3.58529724e-06,3.62939431e-06,-1.03809589e-06,6.34749158e-05,2.55337327e-05
114,0.456000,-0.0332373753,0.907515347,0.737045407,-0.380488098,0.013651209,0.379038751,-7.37461869e-06,-3.61988987e-06,3.51541121e-06,-9.42763734e-07,6.59507132e-05,2.40476948e-05
115,0.460000,-0.033331871,0.907217264,0.737412691,-0.380850405,0.0135709625,0.379161119,-7.54945404e-06,-3.6534143e-06,3.38576319e-06,-8.48216018e-07,6.83799008e-05,2.25898148e-05
